Title,Company,Location,Link,TechStack,ListedAt,ScrapedAt,SeniorityHint,IsEntryLevel
Data Engineer (Software-Oriented),ujet.cx,"Austin, TX",https://www.linkedin.com/jobs/view/data-engineer-software-oriented-at-ujet-cx-4370449670,"python, sql, dbt, bigquery, gcp, ci/cd",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Data Engineer,Millennium Software and Staffing Inc,San Francisco Bay Area,https://www.linkedin.com/jobs/view/data-engineer-at-millennium-software-and-staffing-inc-4370477087,"python, sql",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Data Engineer,Incedo Inc.,"Dallas, TX",https://www.linkedin.com/jobs/view/data-engineer-at-incedo-inc-4370843631,"scala, spark, hadoop, hive",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
AI Software Engineer Intern,Praxent,"Austin, TX",https://www.linkedin.com/jobs/view/ai-software-engineer-intern-at-praxent-4370870454,"python, typescript",2026-02-09,2026-02-10T10:06:13.337Z,entry/intern,true
Sr. Data Engineer,Lumen Resources,United States,https://www.linkedin.com/jobs/view/sr-data-engineer-at-lumen-resources-4370865410,"python, sql, airflow, synapse, azure",2026-02-09,2026-02-10T10:06:13.337Z,senior,false
Senior Data Engineer,Precision Technologies,United States,https://www.linkedin.com/jobs/view/senior-data-engineer-at-precision-technologies-4370428133,"python, sql, spark, pyspark, databricks, synapse, azure, ci/cd",2026-02-09,2026-02-10T10:06:13.337Z,senior,false
Data Engineer – Analytics & Data Migration,IntePros,"Atlanta, GA",https://www.linkedin.com/jobs/view/data-engineer-%E2%80%93-analytics-data-migration-at-intepros-4361789385,"redshift, aws, s3, emr, glue, lambda",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Senior Data Engineer- Contract,"RBA, Inc.","Minnesota, United States",https://www.linkedin.com/jobs/view/senior-data-engineer-contract-at-rba-inc-4370445893,"python, java, scala, sql, spark, hadoop, databricks, airflow, dbt, kafka, snowflake, bigquery, aws, azure, gcp, glue, terraform, ci/cd",2026-02-09,2026-02-10T10:06:13.337Z,senior,false
Senior Data Engineer,GAC Solutions,United States,https://www.linkedin.com/jobs/view/senior-data-engineer-at-gac-solutions-4370413359,aws,2026-02-09,2026-02-10T10:06:13.337Z,senior,false
Sr Data Engineer - Remote,Global Business Ser. 4u,United States,https://www.linkedin.com/jobs/view/sr-data-engineer-remote-at-global-business-ser-4u-4370562543,"spark, databricks, dbt",2026-02-09,2026-02-10T10:06:13.337Z,senior,false
Senior Data Engineer,Impelsys,"Tennessee, United States",https://www.linkedin.com/jobs/view/senior-data-engineer-at-impelsys-4361893044,"python, sql, dbt, azure, emr, github actions, ci/cd",2026-02-09,2026-02-10T10:06:13.337Z,senior,false
Sr Software Engineer Python,Venmo,"San Jose, CA",https://www.linkedin.com/jobs/view/sr-software-engineer-python-at-venmo-4363010586,"python, aws, gcp",2026-02-09,2026-02-10T10:06:13.337Z,senior,false
Senior Data Engineer,Talent Groups,"Beaverton, OR",https://www.linkedin.com/jobs/view/senior-data-engineer-at-talent-groups-4361255558,"python, sql, spark, pyspark, databricks, kafka, azure, terraform, ci/cd",2026-02-09,2026-02-10T10:06:13.337Z,senior,false
Data Engineer,Tech-Nique Partners,"Aventura, FL",https://www.linkedin.com/jobs/view/data-engineer-at-tech-nique-partners-4370555172,"python, sql, bash, spark, hadoop, snowflake, bigquery, aws, azure, s3, ci/cd",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Data Engineer,Per Scholas,United States,https://www.linkedin.com/jobs/view/data-engineer-at-per-scholas-4370600590,"python, sql, dbt, snowflake, ci/cd",2026-02-10,2026-02-10T10:06:13.337Z,mid/unspecified,false
SQL ETL Developer,Kforce Inc,"Englewood, CO",https://www.linkedin.com/jobs/view/sql-etl-developer-at-kforce-inc-4361136410,"python, sql, shell, spark, athena, aws, emr",2026-02-10,2026-02-10T10:06:13.337Z,mid/unspecified,false
ETL(Informatica) developer,Akkodis Group Nordics,"Phoenix, AZ",https://www.linkedin.com/jobs/view/etl-informatica-developer-at-akkodis-group-nordics-4370908118,"sql, shell",2026-02-10,2026-02-10T10:06:13.337Z,mid/unspecified,false
Senior ETL Developer,Veritis Group Inc,"Phoenix, AZ",https://www.linkedin.com/jobs/view/senior-etl-developer-at-veritis-group-inc-4370425567,ci/cd,2026-02-09,2026-02-10T10:06:13.337Z,senior,false
