Title,Company,Location,Link,TechStack,ListedAt,ScrapedAt,SeniorityHint,IsEntryLevel
Associate Data Engineer,The Value Maximizer,"New York, NY",https://www.linkedin.com/jobs/view/associate-data-engineer-at-the-value-maximizer-4370873562,"python, sql, aws, azure, gcp",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,Neighbor,"Lehi, UT",https://www.linkedin.com/jobs/view/data-engineer-at-neighbor-4370913560,"sql, ci/cd",2026-02-10,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,Funga,United States,https://www.linkedin.com/jobs/view/data-engineer-at-funga-4370894199,"python, go, sql, dbt, s3, lambda, ecs, docker",2026-02-10,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Analytics Engineer I or II (Time Limited),Snohomish County PUD,"Everett, WA",https://www.linkedin.com/jobs/view/data-analytics-engineer-i-or-ii-time-limited-at-snohomish-county-pud-4370424753,,2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Analytics Engineer (L6) - Title and Launch Management,Netflix,United States,https://www.linkedin.com/jobs/view/analytics-engineer-l6-title-and-launch-management-at-netflix-4340691249,"python, scala, sql",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,Stuut,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-at-stuut-4370955377,"sql, airflow, dbt, snowflake, bigquery",2026-02-10,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,PETADATA,"Albany, NY",https://www.linkedin.com/jobs/view/data-engineer-at-petadata-4370867644,"python, java, scala, go, sql, spark, hadoop, athena, airflow, kafka, flink, snowflake, bigquery, redshift, synapse, postgresql, mysql, mongodb, cassandra, aws, azure, gcp, s3, emr, glue, dataflow",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,Outdoorsy,"Austin, TX",https://www.linkedin.com/jobs/view/data-engineer-at-outdoorsy-4356636621,"python, sql, airflow, dbt, kafka",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer II,Lennar,"Miami, FL",https://www.linkedin.com/jobs/view/data-engineer-ii-at-lennar-4370832707,"python, java, scala, sql, spark, hadoop, airflow, dbt, kafka, snowflake, redshift, synapse, mongodb, cassandra, dynamodb, aws, azure, gcp, s3, glue, lambda, ci/cd",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,PitchBook,"Seattle, WA",https://www.linkedin.com/jobs/view/data-engineer-at-pitchbook-4361799868,"python, sql, airflow, kafka, snowflake, docker",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
"Data Engineer - VC Backed Healthcare Firm - NYC, Chicago, Austin or San Francisco",Saragossa,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-vc-backed-healthcare-firm-nyc-chicago-austin-or-san-francisco-at-saragossa-4362221554,"spark, hadoop, kafka",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
"Data Engineer II (Python/SQL, Data Bricks, AWS)",Travelers,"Atlanta, GA",https://www.linkedin.com/jobs/view/data-engineer-ii-python-sql-data-bricks-aws-at-travelers-4370609244,"databricks, snowflake, aws, terraform",2026-02-10,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,StraussGroup - Executive Search Consultants,Buffalo-Niagara Falls Area,https://www.linkedin.com/jobs/view/data-engineer-at-straussgroup-executive-search-consultants-4365397010,,2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,TriCom Technical Services,"Topeka, KS",https://www.linkedin.com/jobs/view/data-engineer-at-tricom-technical-services-4369423429,"javascript, sql, aws",2026-02-10,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer Entry Level,Talent Glider,United States,https://www.linkedin.com/jobs/view/data-engineer-entry-level-at-talent-glider-4370423882,"python, sql",2026-02-09,2026-02-10T09:38:53.541Z,entry/intern,true
Data & Analytics Engineer,Codebase Inc,United States,https://www.linkedin.com/jobs/view/data-analytics-engineer-at-codebase-inc-4361769894,snowflake,2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,LPL Financial,"California, United States",https://www.linkedin.com/jobs/view/data-engineer-at-lpl-financial-4370894125,"python, airflow, snowflake, aws, gcp, docker, ci/cd",2026-02-10,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,Stelvio Inc.,"Phoenix, AZ",https://www.linkedin.com/jobs/view/data-engineer-at-stelvio-inc-4370511609,"python, sql, ci/cd",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
"Data Engineer, Senior",Pacific Gas and Electric Company,"Oakland, CA",https://www.linkedin.com/jobs/view/data-engineer-senior-at-pacific-gas-and-electric-company-4370498173,"spark, snowflake, dynamodb, aws, lambda, terraform, ci/cd",2026-02-10,2026-02-10T09:38:53.541Z,senior,false
Senior Data Engineer,Zip Co,United States,https://www.linkedin.com/jobs/view/senior-data-engineer-at-zip-co-4370600597,"python, sql, databricks, iceberg, airflow, dbt, kafka, snowflake, azure, ci/cd",2026-02-10,2026-02-10T09:38:53.541Z,senior,false
Remote Junior Data Engineer,ExecutivePlacements.com,"Woonsocket, RI",https://www.linkedin.com/jobs/view/remote-junior-data-engineer-at-executiveplacements-com-4370509190,sql,2026-02-09,2026-02-10T09:38:53.541Z,entry/intern,true
Data Engineer,Ranger Technical Resources,"Florida, United States",https://www.linkedin.com/jobs/view/data-engineer-at-ranger-technical-resources-4370869750,"databricks, azure",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,AARATECH,Greater Seattle Area,https://www.linkedin.com/jobs/view/data-engineer-at-aaratech-4370417442,"python, sql",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,E-IT,Los Angeles Metropolitan Area,https://www.linkedin.com/jobs/view/data-engineer-at-e-it-4370424564,"sql, spark, pyspark, databricks, delta lake, azure, terraform, ci/cd",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,Agility Partners,"Columbus, Ohio Metropolitan Area",https://www.linkedin.com/jobs/view/data-engineer-at-agility-partners-4335594710,"python, sql, databricks, aws, azure, gcp",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,TEKsystems,"Austin, TX",https://www.linkedin.com/jobs/view/data-engineer-at-teksystems-4370938335,"python, go, spark, databricks, delta lake, kafka, azure, ci/cd",2026-02-10,2026-02-10T09:38:53.541Z,mid/unspecified,false
Senior Data Engineer,Coltech,"New York, United States",https://www.linkedin.com/jobs/view/senior-data-engineer-at-coltech-4362290843,"python, golang, sql, snowflake, mysql, cassandra, aws, glue, lambda",2026-02-09,2026-02-10T09:38:53.541Z,senior,false
